fix_id|code_id|fix_title|probability_rank|difficulty_level|est_parts_cost_min_usd|est_parts_cost_max_usd|est_labor_hours|step_by_step_instructions
849|213|Inspect wheel speed sensor connector and harness routing|1|Easy DIY|5.0|25.0|0.4|Locate the sensor connector near the hub or knuckle at the affected corner • Unplug and inspect for corrosion, moisture, or a bent pin • Follow the harness up to the body grommet checking for chafing against the strut or subframe • Clean, reseat, clear the code, and road test
850|213|Test wheel speed sensor resistance and signal|2|Moderate DIY|10.0|40.0|0.6|Unplug the sensor and measure coil resistance against the factory specification • Reconnect and back-probe the signal circuit while rotating the wheel by hand • Confirm a clean, consistent AC signal with no dropouts • Replace the sensor if resistance is out of range or the signal is erratic
851|213|Replace wheel speed sensor|3|Moderate DIY|30.0|120.0|0.6|Disconnect the battery negative terminal • Remove the sensor mounting bolt and pull the sensor from the knuckle • Install the replacement sensor, confirming it seats fully against the tone ring • Clear the code and confirm signal quality across a range of speeds
852|213|Repair chafed wheel speed sensor harness wiring|4|Professional Required|15.0|65.0|1.2|Trace the harness from the sensor to the body connector along the strut and control arm • Identify the chafe point, commonly where the harness crosses suspension travel • Repair damaged conductors with solder and heat-shrink, then re-route and secure the harness • Clear codes and confirm all four corners correlate correctly on a road test
865|217|Inspect wheel speed sensor connector and harness routing|1|Easy DIY|5.0|25.0|0.4|Locate the sensor connector near the hub or knuckle at the affected corner • Unplug and inspect for corrosion, moisture, or a bent pin • Follow the harness up to the body grommet checking for chafing against the strut or subframe • Clean, reseat, clear the code, and road test
866|217|Test wheel speed sensor resistance and signal|2|Moderate DIY|10.0|40.0|0.6|Unplug the sensor and measure coil resistance against the factory specification • Reconnect and back-probe the signal circuit while rotating the wheel by hand • Confirm a clean, consistent AC signal with no dropouts • Replace the sensor if resistance is out of range or the signal is erratic
867|217|Replace wheel speed sensor|3|Moderate DIY|30.0|120.0|0.6|Disconnect the battery negative terminal • Remove the sensor mounting bolt and pull the sensor from the knuckle • Install the replacement sensor, confirming it seats fully against the tone ring • Clear the code and confirm signal quality across a range of speeds
868|217|Repair chafed wheel speed sensor harness wiring|4|Professional Required|15.0|65.0|1.2|Trace the harness from the sensor to the body connector along the strut and control arm • Identify the chafe point, commonly where the harness crosses suspension travel • Repair damaged conductors with solder and heat-shrink, then re-route and secure the harness • Clear codes and confirm all four corners correlate correctly on a road test
909|228|Adjust brake pedal switch plunger clearance|1|Easy DIY|3.0|15.0|0.3|Locate the brake pedal switch mounted on the pedal bracket above the pedal arm • Loosen the switch locknut and adjust plunger contact per the service manual clearance spec • Pull the pedal fully rearward to auto-adjust the switch on platforms that support it • Verify stop lamps and scan tool brake switch PID respond correctly to pedal travel
910|228|Inspect brake pedal switch connector|2|Easy DIY|5.0|20.0|0.3|Unplug the switch connector and inspect pins for corrosion • Clean with electrical contact cleaner and reseat the connector • Confirm both switch channels toggle together with a multimeter • Clear the code and verify stop lamp operation
911|228|Replace brake pedal switch|3|Moderate DIY|15.0|60.0|0.5|Disconnect the battery negative terminal • Rotate and remove the switch from the pedal bracket • Install the replacement switch and adjust plunger clearance to spec • Clear codes and confirm correct stop lamp and brake-applied signal operation
912|228|Repair stop lamp/brake switch circuit wiring|4|Professional Required|15.0|60.0|1.0|Trace the harness from the switch to the module and stop lamp fuse • Check for chafing near the pedal bracket and steering column • Repair with solder and heat-shrink where damaged • Verify both switch channels and stop lamps function correctly
2710|684|Change engine oil and filter to spec viscosity|1|Easy DIY|25.0|60.0|0.5|1. Drain and inspect oil condition for sludge or debris • 2. Replace with OEM-viscosity oil and a new filter • 3. Clear codes and run a phaser sweep test with a scan tool • 4. Road test through varied load to confirm stable timing
2711|684|Replace oil control valve and clean phaser feed passage|2|Moderate DIY|35.0|160.0|1.3|1. Remove the OCV solenoid and inspect its filter screen • 2. Clean the oil feed passage to the phaser of sludge with solvent and compressed air • 3. Install a new OCV solenoid • 4. Clear adaptive learning and verify timing response
2712|684|Replace worn camshaft phaser assembly|3|Professional Required|180.0|550.0|2.8|1. Set the engine to TDC and lock the timing chain • 2. Remove the worn phaser and inspect the chain/tensioner for related wear • 3. Install the new phaser and retime to factory marks • 4. Verify actuator sweep and clear codes
