code_id|dtc_code|system_category|is_oem_specific|oem_make|fault_family|short_description|detailed_technical_explanation|fix_id|fix_title|probability_rank|difficulty_level|est_parts_cost_min_usd|est_parts_cost_max_usd|est_labor_hours|step_by_step_instructions
213|C0031|Chassis|0||wheel_speed_sensor_circuit|Left Front Wheel Speed Sensor|Code C0031 (Left Front Wheel Speed Sensor) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|849|Inspect wheel speed sensor connector and harness routing|1|Easy DIY|5.0|25.0|0.4|Locate the sensor connector near the hub or knuckle at the affected corner • Unplug and inspect for corrosion, moisture, or a bent pin • Follow the harness up to the body grommet checking for chafing against the strut or subframe • Clean, reseat, clear the code, and road test
213|C0031|Chassis|0||wheel_speed_sensor_circuit|Left Front Wheel Speed Sensor|Code C0031 (Left Front Wheel Speed Sensor) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|850|Test wheel speed sensor resistance and signal|2|Moderate DIY|10.0|40.0|0.6|Unplug the sensor and measure coil resistance against the factory specification • Reconnect and back-probe the signal circuit while rotating the wheel by hand • Confirm a clean, consistent AC signal with no dropouts • Replace the sensor if resistance is out of range or the signal is erratic
213|C0031|Chassis|0||wheel_speed_sensor_circuit|Left Front Wheel Speed Sensor|Code C0031 (Left Front Wheel Speed Sensor) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|851|Replace wheel speed sensor|3|Moderate DIY|30.0|120.0|0.6|Disconnect the battery negative terminal • Remove the sensor mounting bolt and pull the sensor from the knuckle • Install the replacement sensor, confirming it seats fully against the tone ring • Clear the code and confirm signal quality across a range of speeds
213|C0031|Chassis|0||wheel_speed_sensor_circuit|Left Front Wheel Speed Sensor|Code C0031 (Left Front Wheel Speed Sensor) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|852|Repair chafed wheel speed sensor harness wiring|4|Professional Required|15.0|65.0|1.2|Trace the harness from the sensor to the body connector along the strut and control arm • Identify the chafe point, commonly where the harness crosses suspension travel • Repair damaged conductors with solder and heat-shrink, then re-route and secure the harness • Clear codes and confirm all four corners correlate correctly on a road test
217|C0035|Chassis|0||wheel_speed_sensor_circuit|Right Front Wheel Speed Sensor Supply|Code C0035 (Right Front Wheel Speed Sensor Supply) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|865|Inspect wheel speed sensor connector and harness routing|1|Easy DIY|5.0|25.0|0.4|Locate the sensor connector near the hub or knuckle at the affected corner • Unplug and inspect for corrosion, moisture, or a bent pin • Follow the harness up to the body grommet checking for chafing against the strut or subframe • Clean, reseat, clear the code, and road test
217|C0035|Chassis|0||wheel_speed_sensor_circuit|Right Front Wheel Speed Sensor Supply|Code C0035 (Right Front Wheel Speed Sensor Supply) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|866|Test wheel speed sensor resistance and signal|2|Moderate DIY|10.0|40.0|0.6|Unplug the sensor and measure coil resistance against the factory specification • Reconnect and back-probe the signal circuit while rotating the wheel by hand • Confirm a clean, consistent AC signal with no dropouts • Replace the sensor if resistance is out of range or the signal is erratic
217|C0035|Chassis|0||wheel_speed_sensor_circuit|Right Front Wheel Speed Sensor Supply|Code C0035 (Right Front Wheel Speed Sensor Supply) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|867|Replace wheel speed sensor|3|Moderate DIY|30.0|120.0|0.6|Disconnect the battery negative terminal • Remove the sensor mounting bolt and pull the sensor from the knuckle • Install the replacement sensor, confirming it seats fully against the tone ring • Clear the code and confirm signal quality across a range of speeds
217|C0035|Chassis|0||wheel_speed_sensor_circuit|Right Front Wheel Speed Sensor Supply|Code C0035 (Right Front Wheel Speed Sensor Supply) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.|868|Repair chafed wheel speed sensor harness wiring|4|Professional Required|15.0|65.0|1.2|Trace the harness from the sensor to the body connector along the strut and control arm • Identify the chafe point, commonly where the harness crosses suspension travel • Repair damaged conductors with solder and heat-shrink, then re-route and secure the harness • Clear codes and confirm all four corners correlate correctly on a road test
228|C0040|Chassis|0||brake_pedal_switch_stop_lamp_circuit|Brake Pedal Switch A|Code C0040 (Brake Pedal Switch A) sets when the module sees an implausible state from the brake pedal switch(es) that both illuminate the stop lamps and tell the ABS/cruise/shift-interlock systems the brake pedal is applied -- the switch stays closed, stays open, or the two redundant switch channels disagree with each other. A misadjusted switch plunger, a worn switch contact, or corrosion at the switch connector near the pedal bracket are the common causes. Because this switch also feeds the stop lamps and brake-transmission shift interlock, a fault here can cause symptoms well beyond ABS, from stuck-on brake lights to a shifter that will not release from Park.|909|Adjust brake pedal switch plunger clearance|1|Easy DIY|3.0|15.0|0.3|Locate the brake pedal switch mounted on the pedal bracket above the pedal arm • Loosen the switch locknut and adjust plunger contact per the service manual clearance spec • Pull the pedal fully rearward to auto-adjust the switch on platforms that support it • Verify stop lamps and scan tool brake switch PID respond correctly to pedal travel
228|C0040|Chassis|0||brake_pedal_switch_stop_lamp_circuit|Brake Pedal Switch A|Code C0040 (Brake Pedal Switch A) sets when the module sees an implausible state from the brake pedal switch(es) that both illuminate the stop lamps and tell the ABS/cruise/shift-interlock systems the brake pedal is applied -- the switch stays closed, stays open, or the two redundant switch channels disagree with each other. A misadjusted switch plunger, a worn switch contact, or corrosion at the switch connector near the pedal bracket are the common causes. Because this switch also feeds the stop lamps and brake-transmission shift interlock, a fault here can cause symptoms well beyond ABS, from stuck-on brake lights to a shifter that will not release from Park.|910|Inspect brake pedal switch connector|2|Easy DIY|5.0|20.0|0.3|Unplug the switch connector and inspect pins for corrosion • Clean with electrical contact cleaner and reseat the connector • Confirm both switch channels toggle together with a multimeter • Clear the code and verify stop lamp operation
