code_id|dtc_code|system_category|is_oem_specific|oem_make|fault_family|short_description|detailed_technical_explanation
213|C0031|Chassis|0||wheel_speed_sensor_circuit|Left Front Wheel Speed Sensor|Code C0031 (Left Front Wheel Speed Sensor) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.
217|C0035|Chassis|0||wheel_speed_sensor_circuit|Right Front Wheel Speed Sensor Supply|Code C0035 (Right Front Wheel Speed Sensor Supply) sets when the ABS module loses a valid electrical signal from a wheel speed sensor -- the circuit reads open, shorted low or high, drops out intermittently, fails to correlate with the other three wheels, or reports an incorrect component installed. The diagnosis and repair are identical at every corner: a corroded or unplugged connector, a chafed harness conductor rubbing on the strut or subframe, or a failed Hall-effect/variable-reluctance sensor element. This is distinct from a tone-ring or mechanical fault, where the wiring and sensor test fine but the signal is noisy or absent because of physical damage at the reluctor wheel.
228|C0040|Chassis|0||brake_pedal_switch_stop_lamp_circuit|Brake Pedal Switch A|Code C0040 (Brake Pedal Switch A) sets when the module sees an implausible state from the brake pedal switch(es) that both illuminate the stop lamps and tell the ABS/cruise/shift-interlock systems the brake pedal is applied -- the switch stays closed, stays open, or the two redundant switch channels disagree with each other. A misadjusted switch plunger, a worn switch contact, or corrosion at the switch connector near the pedal bracket are the common causes. Because this switch also feeds the stop lamps and brake-transmission shift interlock, a fault here can cause symptoms well beyond ABS, from stuck-on brake lights to a shifter that will not release from Park.
684|P0011|Powertrain|0||vvt_timing_performance|A Camshaft Position - Timing Over-Advanced or System Performance Bank 1|Code P0011 (A Camshaft Position - Timing Over-Advanced or System Performance Bank 1) sets when a camshaft phaser reaches a timing position beyond commanded limits or becomes stuck rather than responding to duty-cycle commands. Root causes are sludge or low oil pressure starving the phaser, a worn phaser with excessive internal slack, a stuck oil control valve, or a mis-timed chain/belt from prior service.
689|P0016|Powertrain|0||crank_cam_correlation|Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A|Code P0016 (Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A) sets when the ECM compares crankshaft and camshaft position signals and finds their relative timing outside the expected window, or cannot establish a stable engine position sync. This is most often caused by timing chain/belt stretch or a jumped tooth, a failing crankshaft or camshaft position sensor, worn tensioner/guides, or reluctor-wheel damage.
924|P0101|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Range/Performance|Code P0101 (Mass or Volume Air Flow Sensor A Circuit Range/Performance) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.
925|P0102|Powertrain|0||maf_circuit|Mass or Volume Air Flow Sensor A Circuit Low|Code P0102 (Mass or Volume Air Flow Sensor A Circuit Low) sets when the ECM detects an implausible signal from the mass air flow sensor — reported airflow disagrees with throttle position and engine speed, or the signal voltage leaves its calibrated window. The most common physical causes are a contaminated MAF sensing element, unmetered air entering the intake downstream of the sensor, and chafed or corroded wiring in the sensor's 5V reference / signal-return circuit.
929|P0106|Powertrain|0||map_sensor_circuit|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance|Code P0106 (Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance) sets when the ECM sees an open, shorted, or implausible voltage from the MAP/barometric pressure sensor circuit, or the reading is simply too low for the current altitude. Causes are a cracked or oil-fouled vacuum port, a failed sensor element, or damaged sensor wiring.
942|P0113|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit High Bank 1|Code P0113 (Intake Air Temperature Sensor 1 Circuit High Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.
943|P0114|Powertrain|0||iat_sensor_circuit|Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1|Code P0114 (Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1) sets when the ECM sees an open, shorted, or implausible resistance from an intake air temperature sensor (any position/bank), or a correlation mismatch against a related ambient or fuel temperature signal. Causes are a corroded connector, a failed thermistor element, or chafed harness wiring near the intake tract.
