part_id|fix_id|part_name|amazon_search_query
863|849|Electrical contact cleaner|https://www.amazon.com/s?k=Electrical+contact+cleaner+automotive
864|850|Digital multimeter|https://www.amazon.com/s?k=Digital+multimeter+automotive
865|851|Wheel speed sensor|https://www.amazon.com/s?k=Wheel+speed+sensor+automotive
866|852|Automotive wiring repair kit (solder + heat-shrink)|https://www.amazon.com/s?k=Automotive+wiring+repair+kit+%28solder+%2B+heat-shrink%29+automotive
879|865|Electrical contact cleaner|https://www.amazon.com/s?k=Electrical+contact+cleaner+automotive
880|866|Digital multimeter|https://www.amazon.com/s?k=Digital+multimeter+automotive
881|867|Wheel speed sensor|https://www.amazon.com/s?k=Wheel+speed+sensor+automotive
882|868|Automotive wiring repair kit (solder + heat-shrink)|https://www.amazon.com/s?k=Automotive+wiring+repair+kit+%28solder+%2B+heat-shrink%29+automotive
923|909|Brake pedal switch|https://www.amazon.com/s?k=Brake+pedal+switch+automotive
924|910|Electrical contact cleaner|https://www.amazon.com/s?k=Electrical+contact+cleaner+automotive
925|911|Brake pedal switch|https://www.amazon.com/s?k=Brake+pedal+switch+automotive
926|912|Automotive wiring repair kit (solder + heat-shrink)|https://www.amazon.com/s?k=Automotive+wiring+repair+kit+%28solder+%2B+heat-shrink%29+automotive
2872|2710|Engine oil (OEM-spec viscosity)|https://www.amazon.com/s?k=Engine+oil+%28OEM-spec+viscosity%29+automotive
2873|2710|Engine oil filter|https://www.amazon.com/s?k=Engine+oil+filter+automotive
2874|2711|VVT oil control valve (OCV) solenoid|https://www.amazon.com/s?k=VVT+oil+control+valve+%28OCV%29+solenoid+automotive
2875|2712|Camshaft phaser/VVT actuator|https://www.amazon.com/s?k=Camshaft+phaser%2FVVT+actuator+automotive
2876|2713|Timing chain/belt kit (chain or belt, tensioner, guides)|https://www.amazon.com/s?k=Timing+chain%2Fbelt+kit+%28chain+or+belt%2C+tensioner%2C+guides%29+automotive
2897|2729|Crankshaft position sensor|https://www.amazon.com/s?k=Crankshaft+position+sensor+automotive
2898|2729|Camshaft position sensor|https://www.amazon.com/s?k=Camshaft+position+sensor+automotive
2899|2730|Timing chain/belt kit (chain or belt, tensioner, guides)|https://www.amazon.com/s?k=Timing+chain%2Fbelt+kit+%28chain+or+belt%2C+tensioner%2C+guides%29+automotive
2900|2731|Automotive wiring repair kit (solder + heat-shrink)|https://www.amazon.com/s?k=Automotive+wiring+repair+kit+%28solder+%2B+heat-shrink%29+automotive
3901|3481|Mass air flow sensor cleaner spray|https://www.amazon.com/s?k=Mass+air+flow+sensor+cleaner+spray+automotive
3902|3482|Mass air flow (MAF) sensor|https://www.amazon.com/s?k=Mass+air+flow+%28MAF%29+sensor+automotive
3903|3482|MAF sensor connector pigtail|https://www.amazon.com/s?k=MAF+sensor+connector+pigtail+automotive
3904|3483|Engine air intake boot / coupler|https://www.amazon.com/s?k=Engine+air+intake+boot+%2F+coupler+automotive
3905|3484|Automotive wiring repair kit (solder + heat-shrink)|https://www.amazon.com/s?k=Automotive+wiring+repair+kit+%28solder+%2B+heat-shrink%29+automotive
3906|3485|Mass air flow sensor cleaner spray|https://www.amazon.com/s?k=Mass+air+flow+sensor+cleaner+spray+automotive
3907|3486|Mass air flow (MAF) sensor|https://www.amazon.com/s?k=Mass+air+flow+%28MAF%29+sensor+automotive
3908|3486|MAF sensor connector pigtail|https://www.amazon.com/s?k=MAF+sensor+connector+pigtail+automotive
3909|3487|Engine air intake boot / coupler|https://www.amazon.com/s?k=Engine+air+intake+boot+%2F+coupler+automotive
